x;y
-0.6965723345356611;-1.2256492680801454
-0.7570562055034031;-1.144480436911314
-0.7772174958259832;-1.1174241598550374
-0.7772174958259832;-1.09036788279876
-0.7772174958259832;-1.0633116057424834
-0.7772174958259832;-1.036255328686206
-0.7772174958259832;-1.0091990516299285
-0.7772174958259832;-0.982142774573652
-0.7772174958259832;-0.9550864975173745
-0.7772174958259832;-0.9009739434048205
-0.7570562055034031;-0.8468613892922665
-0.7570562055034031;-0.7927488351797125
-0.7368949151808222;-0.7656925581234351
-0.7167336248582412;-0.7115800040108811
-0.6965723345356611;-0.6033548957857731
-0.6764110442130802;-0.5762986187294956
-0.6764110442130802;-0.5221860646169416
-0.6562497538904992;-0.49512978756066506
-0.6360884635679191;-0.44101723344811106
-0.6159271732453382;-0.38690467933555706
-0.5957658829227572;-0.3598484022792796
-0.5352820119550152;-0.3057358481667256
-0.4949594313098542;-0.27867957111044817
-0.47479814098727413;-0.2516232940541716
-0.45463685066469317;-0.2516232940541716
-0.4344755603421122;-0.2516232940541716
-0.41431427001953214;-0.2516232940541716
-0.3739916893743702;-0.2516232940541716
-0.29334652808404815;-0.3057358481667256
-0.2127013667937252;-0.38690467933555706
-0.1522174958259832;-0.4139609563918336
-0.09173362485824121;-0.49512978756066506
-0.07157233453566114;-0.5492423416732191
-0.05141104421308018;-0.6033548957857731
-0.03124975389049922;-0.6304111728420505
-0.011088463567919149;-0.6574674498983271
0.009072826754661811;-0.7656925581234351
0.02923411707724277;-0.81980511223599
0.02923411707724277;-0.873917666348544
0.02923411707724277;-0.9550864975173745
0.02923411707724277;-0.982142774573652
0.02923411707724277;-1.036255328686206
0.02923411707724277;-1.0633116057424834
0.02923411707724277;-1.144480436911314
0.02923411707724277;-1.144480436911314
0.02923411707724277;-1.1715367139675914
0.02923411707724277;-1.198592991023868
0.02923411707724277;-1.252705545136422
0.02923411707724277;-1.252705545136422
0.02923411707724277;-1.2797618221926994
0.02923411707724277;-1.3068180992489768
-0.03124975389049922;-1.4150432074740849
-0.05141104421308018;-1.4691557615866389
-0.07157233453566114;-1.4962120386429163
-0.09173362485824121;-1.5773808698117469
-0.1522174958259832;-1.6856059780368549
-0.17237878614856417;-1.6856059780368549
-0.17237878614856417;-1.6856059780368549
-0.19254007647114424;-1.6856059780368549
-0.23286265711630616;-1.7397185321494097
-0.29334652808404815;-1.7938310862619637
-0.3135078184066282;-1.8208873633182403
-0.3336691087292092;-1.8479436403745177
-0.35383039905179015;-1.8479436403745177
-0.3739916893743702;-1.9020561944870717
-0.3941529796969512;-1.9020561944870717
-0.41431427001953214;-1.9020561944870717
-0.45463685066469317;-1.9291124715433492
-0.4949594313098542;-1.9561687485996258
-0.5554433022775962;-2.0102813027121798
-0.5957658829227572;-2.0102813027121798
-0.6360884635679191;-2.0102813027121798
-0.7167336248582412;-2.0102813027121798
-0.7973787861485642;-2.0102813027121798
-0.8780239474388862;-2.0102813027121798
-0.9183465280840482;-2.0102813027121798
-0.9586691087292092;-2.0102813027121798
-1.0191529796969512;-1.9832250256559032
-1.0796368506646932;-1.9291124715433492
-1.1199594313098542;-1.9020561944870717
-1.1401207216324352;-1.8749999174307943
-1.1804433022775962;-1.8208873633182403
-1.2207658829227572;-1.7397185321494097
-1.2610884635679191;-1.6856059780368549
-1.2812497538904992;-1.6585497009805783
-1.3014110442130802;-1.6314934239243009
-1.3014110442130802;-1.6044371468680243
-1.3215723345356611;-1.4962120386429163
-1.3417336248582412;-1.4150432074740849
-1.3417336248582412;-1.3879869304178074
-1.3618949151808222;-1.3609306533615309
-1.3618949151808222;-1.1715367139675914
-1.3618949151808222;-1.1174241598550374
-1.3618949151808222;-1.036255328686206
-1.3618949151808222;-0.9550864975173745
-1.3820562055034031;-0.928030220461098
-1.3820562055034031;-0.873917666348544
-1.3820562055034031;-0.8468613892922665
